Depth;ABDCQF01;ABDCQF02;ABDCQF03;ABDCQF04;BS;CALI;DRHO;DT;DTS;GR;NPHI;PEF;RACEHM;RACELM;RHOB;ROP;RPCEHM;RPCELM;RT
3095.8;2.5698;2.595;2.6052;2.5994;8.5;8.625;0.0391;60.0419;104.8697;7.5902;0.0517;7.5694;11.5429;12.6236;2.5944;10.8546;11.4363;11.708;11.4363
3095.9;2.572;2.6;2.6093;2.6032;8.5;8.6249;0.0392;60.0482;105.0176;8.4214;0.0505;7.5728;11.5756;12.765;2.5984;10.9217;11.4646;11.7224;11.4646
3096;2.5779;2.6068;2.6151;2.6074;8.5;8.6015;0.04;60.0678;105.1343;9.8154;0.0517;7.5596;11.585;12.6302;2.6034;10.9888;11.419;11.7284;11.419
3096.1;2.5858;2.613;2.6207;2.6109;8.5;8.5781;0.0416;60.0874;105.2509;10.7002;0.0502;7.5458;11.5885;12.6377;2.6084;11.0218;11.4029;11.7302;11.4029
3096.2;2.5929;2.6166;2.6248;2.6117;8.5;8.5781;0.0433;60.1029;105.3322;10.9494;0.0492;7.5428;11.6115;12.7735;2.6117;11.0547;11.3516;11.6885;11.3516
3096.3;2.5978;2.6157;2.6254;2.6101;8.5;8.5781;0.0444;60.1128;105.3641;10.5449;0.0488;7.5494;11.6387;12.8467;2.6121;11.0875;11.1355;11.5665;11.1355
3096.4;2.6013;2.6127;2.6224;2.6088;8.5;8.5781;0.0453;60.1226;105.3959;10.15;0.049;7.5645;11.6473;12.8621;2.6108;11.0935;10.937;11.4683;10.937
3096.5;2.6047;2.6105;2.6177;2.6101;8.5;8.5781;0.0467;60.1192;105.4106;11.1675;0.0492;7.5886;11.6609;12.7936;2.6098;11.0994;10.9938;11.5178;10.9938
3096.6;2.6075;2.6103;2.6135;2.6135;8.5;8.5781;0.0483;60.093;105.3959;10.5619;0.0492;7.6059;11.6779;12.6592;2.6098;11.1054;11.2009;11.7257;11.2009
3096.7;2.6091;2.6107;2.6104;2.6161;8.5;8.5938;0.0492;60.0668;105.381;10.1454;0.0462;7.6055;11.7073;12.8803;2.6097;11.1067;11.3101;11.7685;11.3101
3096.8;2.6092;2.6098;2.607;2.6165;8.5;8.5781;0.0486;60.0353;105.3524;9.8369;0.0487;7.6009;11.7086;12.8928;2.6081;11.1081;11.2783;11.735;11.2783
3096.9;2.6087;2.6082;2.6032;2.6149;8.5;8.5781;0.0477;59.9925;105.2943;9.4831;0.0484;7.622;11.7029;12.8081;2.606;11.1094;11.197;11.7113;11.197
3097;2.6082;2.6073;2.6017;2.6126;8.5;8.5938;0.0472;59.9496;105.2361;9.3153;0.0453;7.6737;11.7204;12.8807;2.6049;11.1196;11.1479;11.6852;11.1479
3097.1;2.6066;2.6081;2.6046;2.6106;8.5;8.5898;0.0476;59.9106;105.1477;8.5535;0.0451;7.7297;11.7412;12.7893;2.6057;11.1299;11.1127;11.6847;11.1127
3097.2;2.6034;2.6106;2.6098;2.6093;8.5;8.5781;0.0483;59.8818;104.9788;8.1309;0.0479;7.7639;11.7976;12.9011;2.6076;11.1401;11.1529;11.7187;11.1529
3097.3;2.5998;2.6135;2.6145;2.6098;8.5;8.5781;0.0487;59.8532;104.8098;8.0933;0.0481;7.7702;11.7976;12.8621;2.6097;11.1418;11.2838;11.8343;11.2838
3097.4;2.5982;2.6155;2.6176;2.6115;8.5;8.5781;0.0486;59.8335;104.659;8.5919;0.0484;7.7505;11.8132;12.873;2.6116;11.1434;11.372;11.9181;11.372
3097.5;2.5995;2.616;2.6194;2.6111;8.5;8.5781;0.0479;59.8452;104.5701;8.2576;0.0485;7.7013;11.8511;12.7099;2.6126;11.1451;11.4402;11.9879;11.4402
3097.6;2.6017;2.6155;2.6215;2.6064;8.5;8.5781;0.0468;59.8569;104.4813;8.1657;0.0486;7.6338;11.9049;12.9047;2.6125;11.1377;11.4294;11.9285;11.4294
3097.7;2.6026;2.6149;2.6233;2.5996;8.5;8.5781;0.0456;59.8725;104.408;8.5083;0.0488;7.5804;11.9318;12.9898;2.6113;11.1304;11.4163;11.9485;11.4163
3097.8;2.6018;2.6144;2.6224;2.5953;8.5;8.5782;0.0446;59.9063;104.4066;8.3888;0.0485;7.5661;11.9465;12.9585;2.6095;11.123;11.5189;12.0454;11.5189
3097.9;2.5995;2.6138;2.6177;2.5955;8.5;8.6017;0.0439;59.9401;104.4052;8.7915;0.045;7.5864;11.9757;12.7259;2.6073;11.1294;11.6752;12.1507;11.6752
3098;2.5972;2.6129;2.6108;2.5982;8.5;8.625;0.0436;59.9742;104.4063;8.3959;0.0441;7.6072;11.9589;12.7638;2.6052;11.1359;11.7188;12.1781;11.7188
3098.1;2.5979;2.6119;2.6051;2.6007;8.5;8.6249;0.0437;60.011;104.4244;8.5747;0.0435;7.6008;11.9713;12.8169;2.604;11.1423;11.672;12.1332;11.672
3098.2;2.6021;2.6104;2.604;2.6025;8.5;8.5898;0.0442;60.0478;104.4426;9.0854;0.0433;7.5664;12.0179;12.935;2.6041;11.1442;11.6973;12.1533;11.6973
3098.3;2.6065;2.6076;2.6072;2.6038;8.5;8.5782;0.0443;60.0847;104.4642;9.5731;0.0463;7.5186;12.0666;12.8248;2.6046;11.146;11.8841;12.2836;11.8841
3098.4;2.6068;2.6037;2.6124;2.6046;8.5;8.625;0.044;60.1232;104.5248;10.0123;0.0439;7.4656;12.0859;12.8474;2.6047;11.1479;12.1994;12.5281;12.1994
3098.5;2.6027;2.6005;2.617;2.6033;8.5;8.6132;0.0436;60.1618;104.5853;10.0876;0.0442;7.4211;12.0742;12.7019;2.6045;11.1451;12.4021;12.6465;12.4021
3098.6;2.5999;2.601;2.6208;2.6009;8.5;8.5781;0.0446;60.2005;104.6417;9.995;0.0471;7.4068;12.047;12.6796;2.6057;11.1424;12.4334;12.6623;12.4334
3098.7;2.6016;2.6059;2.6247;2.6008;8.5;8.5781;0.0478;60.2452;104.5797;9.0771;0.0471;7.4289;11.9917;12.6585;2.6095;11.1396;12.3888;12.6305;12.3888
3098.8;2.6061;2.6122;2.6274;2.6044;8.5;8.5899;0.0516;60.29;104.5177;8.8881;0.0469;7.4541;11.9657;12.6957;2.6142;11.1414;12.3479;12.5673;12.3479
3098.9;2.6088;2.6168;2.6271;2.6095;8.5;8.6249;0.0539;60.3347;104.4559;8.8581;0.0436;7.4315;11.9736;12.5043;2.6169;11.1432;12.3811;12.6211;12.3811
3099;2.6068;2.6173;2.6226;2.6121;8.5;8.6016;0.0532;60.3762;104.5156;8.1068;0.0429;7.3465;12.0343;12.3844;2.6153;11.1451;12.4596;12.733;12.4596
3099.1;2.6013;2.6156;2.6168;2.6112;8.5;8.6094;0.0507;60.4176;104.5773;8.5363;0.0423;7.2568;11.9903;12.4507;2.6112;11.1292;12.3603;12.582;12.3603
3099.2;2.5956;2.6136;2.6128;2.6083;8.5;8.6093;0.0485;60.4591;104.6391;8.5138;0.0447;7.2327;11.8823;12.4022;2.6072;11.1134;12.0155;12.3035;12.0155
3099.3;2.5907;2.6111;2.6105;2.6048;8.5;8.5782;0.0473;60.4913;104.7301;8.3628;0.045;7.2909;11.7197;11.9444;2.6038;11.0975;11.5306;12.0081;11.5306
3099.4;2.5857;2.6067;2.6088;2.6003;8.5;8.6094;0.0465;60.523;104.8231;8.4246;0.0431;7.3866;11.549;11.7699;2.6001;11.0694;11.1575;11.737;11.1575
3099.5;2.5811;2.6011;2.6068;2.5942;8.5;8.625;0.0451;60.5545;104.9163;8.6918;0.044;7.4639;11.4152;11.8248;2.596;11.0412;10.9056;11.4763;10.9056
3099.6;2.5808;2.5974;2.6068;2.5897;8.5;8.625;0.0439;60.5703;105.053;8.8759;0.0448;7.5099;11.3025;11.6475;2.5944;11.0132;10.737;11.3142;10.737
3099.7;2.5863;2.5975;2.6099;2.5904;8.5;8.6249;0.0439;60.5841;105.1952;8.7548;0.0453;7.5417;11.1907;11.5201;2.597;11.0049;10.5715;11.1782;10.5715
3099.8;2.5941;2.5997;2.6141;2.5968;8.5;8.5781;0.045;60.598;105.3373;8.0177;0.0482;7.5634;11.0424;11.3845;2.602;10.9967;10.4487;11.063;10.4487
3099.9;2.5997;2.6005;2.6164;2.6054;8.5;8.5781;0.0462;60.6212;105.4351;7.8635;0.0482;7.5702;10.8969;11.0837;2.6059;10.9884;10.3265;10.9399;10.3265
